"序号","维度Key","维度","选项Key","选项","当前按钮说明","大模型Prompt"
"32","era","年代","prehistoric","史前","原始自然、部落或远古生态。","年代设定为史前，使用原始自然、岩壁、部落服饰、兽骨、火堆、巨型生物或远古生态环境。"
"33","scene","场景","city","城市","城市建筑、街道或天际线。","场景设定为城市，加入高楼、街道、车流、玻璃幕墙、霓虹或天际线，让空间具有现代电影的都市张力。"
"34","scene","场景","campus","校园","教学楼、操场、青春空间。","场景设定为校园，使用教学楼、走廊、操场、课桌、储物柜或青春人群，带有成长与关系变化的叙事感。"
"35","scene","场景","hospital","医院","病房、走廊、医疗空间。","场景设定为医院，加入病房、长走廊、手术灯、白色墙面、医疗设备和冷静紧张的空间秩序。"
"36","scene","场景","police-station","警局","审讯、档案、制度空间。","场景设定为警局，使用审讯室、档案柜、玻璃隔断、白板线索、冷光灯和制度化压迫感。"
"37","scene","场景","court","法庭","审判、席位和秩序感。","场景设定为法庭，加入审判席、陪审席、木质墙面、证据桌和严肃秩序感，突出对抗与裁决。"
"38","scene","场景","space","太空","宇宙、飞船或天体背景。","场景设定为太空，加入星云、星球、飞船、宇航服、舷窗或黑暗宇宙背景，强化未知尺度与孤独感。"
"39","scene","场景","deep-sea","深海","水下、幽暗和未知生态。","场景设定为深海，使用水下光束、气泡、漂浮颗粒、幽暗蓝绿空间和未知生物轮廓。"
"40","scene","场景","desert","沙漠","沙丘、热浪和空旷地平线。","场景设定为沙漠，加入沙丘、热浪、尘暴、空旷地平线和强烈日光，形成干燥、宏大、危险的空间。"
"41","scene","场景","forest","森林","树影、自然和遮蔽感。","场景设定为森林，使用高树、树影、雾气、苔藓、枝叶遮蔽和自然纵深，保留秘密与探索感。"
"42","scene","场景","snowfield","雪地","冰雪、冷光和荒寒。","场景设定为雪地，加入冰原、积雪、寒雾、冷光反射和空旷白色环境，强化孤立与严寒。"
"43","scene","场景","battlefield","战场","冲突现场、烟尘和残骸。","场景设定为战场，加入烟尘、残骸、旗帜、武器、火光和混乱远景，让冲突规模清晰可见。"
"44","scene","场景","ruins","废墟","破败建筑、末日和遗迹感。","场景设定为废墟，使用破败建筑、断墙、碎石、尘埃、荒草和末日遗迹感，强调失序后的世界。"
"45","scene","场景","palace","宫廷","权力空间、礼制和华丽陈设。","场景设定为宫廷，加入殿堂、帷幕、阶梯、雕花、仪式陈设和权力中心的华丽秩序。"
"46","scene","场景","jianghu","江湖","客栈、山林、刀剑与漂泊。","场景设定为江湖，使用客栈、山路、竹林、渡口、刀剑和漂泊人物，带有武侠片的自由与危险。"
"47","scene","场景","road","公路","道路、车辆和旅程感。","场景设定为公路，加入延伸道路、车辆、路牌、远方地平线和旅程感，画面有明确前进方向。"
"48","scene","场景","train","列车","车厢、站台或铁路运动。","场景设定为列车，使用车厢、站台、铁轨、窗外流动风景和狭长透视，强化运动与封闭空间张力。"
"49","scene","场景","island","岛屿","海岸、孤立和边界感。","场景设定为岛屿，加入海岸线、礁石、孤立建筑、潮水和远处海平面，形成边界与隔绝感。"
"50","scene","场景","town","小镇","地方生活、人际关系和低密度空间。","场景设定为小镇，使用低矮建筑、街角店铺、居民生活痕迹和地方性空间，强调人际关系和秘密。"
"51","scene","场景","apartment","公寓","室内生活空间和私密关系。","场景设定为公寓，加入客厅、卧室、窗户、家具、个人物件和私密生活痕迹，强化人物关系。"
"52","scene","场景","grassland","草原","开阔草地、地平线和风。","场景设定为草原，使用开阔草地、低地平线、风、远山或天空，强调宽广空间和人物孤立。"
"53","scene","场景","earth-house","土房子","乡土建筑和粗粝质地。","场景设定为土房子或乡土建筑，加入夯土墙、木门、院落、尘土和粗粝材质，突出地域生活质感。"
"54","style","风格","realistic","写实","真实摄影和电影剧照质感。","整体采用写实电影摄影风格，人物、光线、服装、材质和空间都保持真实可信，像高质量电影剧照转化成海报。"
"55","style","风格","minimal","极简","少元素、高概括、强符号。","整体采用极简海报风格，减少元素数量，保留强符号、清晰主视觉和大面积留白，让画面高级克制。"
"56","style","风格","film","胶片","颗粒、冲印和模拟影像感。","整体采用胶片风格，加入自然颗粒、轻微冲印偏色、模拟影像质感和真实摄影的时间痕迹。"
"57","style","风格","cyberpunk","赛博","霓虹、科技、城市夜色。","整体采用赛博风格，使用霓虹灯、雨夜城市、科技界面、金属材质和高反差夜色。"
"58","style","风格","ink","水墨","东方笔墨、留白和墨色层次。","整体采用水墨风格，使用东方笔墨、墨色晕染、留白、淡彩和诗意空间层次。"
"59","style","风格","hand-drawn","手绘","插画笔触和人工绘制感。","整体采用手绘插画风格，保留可见笔触、人工绘制轮廓、丰富纹理和电影海报式构图。"
"60","style","风格","oil-painting","油画","厚涂、油彩和古典质地。","整体采用油画风格，使用厚涂笔触、油彩层次、古典光影和画布质感，形成艺术电影海报气质。"
"61","style","风格","sketch","素描","线条、明暗和草图质感。","整体采用素描风格，以线条、明暗排线、纸张纹理和黑白灰层次构建主视觉。"
"62","style","风格","anime","动漫","动画角色与分镜感。","整体采用动漫电影风格，人物造型清晰，色块干净，光影带有动画分镜感，同时保持电影海报完成度。"
"63","style","风格","hong-kong","港风","港片海报、霓虹和复古商业感。","整体采用港风电影海报风格，加入霓虹、街头夜色、复古商业排版感、强烈人物关系和港片质感。"
"64","style","风格","surreal","超现实","现实元素错置，制造梦境和寓言感。","整体采用超现实风格，将真实元素错置、放大、悬浮或重组，制造梦境、寓言和不可能空间。"
"65","atmosphere","氛围","warm","温馨","柔和亲密，降低冲突感。","氛围温馨，使用柔和光线、亲密距离、低冲突表情和暖意细节，让画面有被照顾和靠近的感觉。"
"66","atmosphere","氛围","lonely","孤寂","突出空旷、沉默和人物隔离感。","氛围孤寂，扩大空旷空间和沉默留白，让人物与环境产生隔离感，情绪安静但深。"
"67","atmosphere","氛围","suspense","悬疑","保留未解问题和视觉紧张。","氛围悬疑，保留未解信息、遮挡、阴影和紧张视线，让观众感觉事件即将揭开。"
"68","atmosphere","氛围","passionate","热血","强化行动力、速度和情绪爆发。","氛围热血，强化动作姿态、速度线索、强烈表情、火光或高能光效，让画面有爆发力。"
"69","atmosphere","氛围","epic","史诗","扩大世界观尺度与命运感。","氛围史诗，扩大世界观尺度，使用远景、宏大环境、命运感光线和庄严人物姿态。"
"70","atmosphere","氛围","romantic","浪漫","强调关系、凝视和柔性光线。","氛围浪漫，强调人物关系、凝视、柔性光线、轻微逆光和温柔空间，让情感成为主视觉。"
"71","atmosphere","氛围","depressed","压抑","低饱和、高压力、呼吸感收紧。","氛围压抑，降低饱和度，收紧空间和呼吸感，使用沉重阴影、低天花板或逼仄构图。"
"72","atmosphere","氛围","mysterious","神秘","保留未知符号和仪式感。","氛围神秘，加入未知符号、雾气、仪式感光源、遮蔽信息和不可解释的空间线索。"
"73","atmosphere","氛围","comic","搞笑","更轻盈夸张，降低危险感。","氛围搞笑，使用夸张姿态、轻盈节奏、反差道具和明快表情，降低危险感但保留电影海报张力。"
"74","atmosphere","氛围","nostalgic","怀旧","旧影像、回忆和时间痕迹。","氛围怀旧，加入旧影像颗粒、褪色光线、年代物件和回忆感构图，让时间痕迹可见。"
"75","atmosphere","氛围","quiet","宁静","稳定、留白、低冲突。","氛围宁静，使用稳定构图、柔和自然光、低冲突动作和适度留白，让画面安定、平和。"
"76","atmosphere","氛围","oppressive","压迫","强压力、巨大体量或心理压迫。","氛围压迫，使用巨大体量、低角度、深阴影、逼近的空间或强压力光线，让人物承受明显威胁。"
"77","atmosphere","氛围","eerie","诡异","不安、错位、异样的静默。","氛围诡异，加入错位元素、异常静默、不自然姿态、偏冷阴影和让人不安的细节。"
"78","atmosphere","氛围","fresh","清新","明亮、干净、轻呼吸感。","氛围清新，使用明亮自然光、干净空间、轻盈色彩和舒展呼吸感，让画面透明、干净。"
"79","atmosphere","氛围","solemn","肃穆","庄重、克制、仪式化。","氛围肃穆，使用庄重姿态、克制表情、仪式化空间、低声量色彩和稳定构图。"
"80","atmosphere","氛围","luxurious","奢靡","华丽材质、灯光与欲望感。","氛围奢靡，使用华丽材质、金属反光、丝绒、珠宝、暖光和欲望感空间。"
"81","atmosphere","氛围","free","自由","开放空间和舒展姿态。","氛围自由，使用开放空间、风、舒展姿态、远方地平线和明快动线，让画面有释放感。"
"82","atmosphere","氛围","gloomy","阴森","暗处、寒意和危险预兆。","氛围阴森，使用暗处、冷光、湿冷材质、阴影遮挡和危险预兆，让画面有寒意。"
"83","atmosphere","氛围","youthful","青春","明快、成长感、群体活力。","氛围青春，使用明快光线、成长场景、群体互动、校园或街头活力，让画面年轻、有生命力。"
"84","atmosphere","氛围","zen","禅意","极简、静观、东方留白。","氛围禅意，使用极简空间、东方留白、自然材质、静观姿态和缓慢光线，强调平衡与内在安静。"
"85","tone","色调","teal-orange","青橙","青色阴影和橙色高光的电影感。","色调采用青橙电影色彩，阴影偏青蓝，高光偏橙黄，人物肤色自然，整体有商业大片质感。"
"86","tone","色调","black-white","黑白","去色、强明暗和经典影像感。","色调采用黑白影像，去除彩色干扰，强化明暗层次、轮廓、颗粒和经典电影质感。"
"87","tone","色调","japanese","日系","清淡、柔和、低反差。","色调采用日系清淡风格，低反差、柔和自然光、浅色背景和轻微空气感，画面安静干净。"
"88","tone","色调","warm-yellow","暖黄","暖色光、怀旧和亲密感。","色调采用暖黄色，主光偏金黄或钨丝灯色，带来怀旧、亲密和温暖的电影氛围。"
"89","tone","色调","cold-blue","冷蓝","冷调夜色、科技或疏离感。","色调采用冷蓝色，阴影和环境光偏蓝，强化夜色、科技、距离感或心理疏离。"
"90","tone","色调","black-gold","黑金","黑场和金色高光，偏高级商业感。","色调采用黑金配色，深黑背景搭配金色高光和精致反光，营造高级、权力和奢华感。"
"91","tone","色调","forest","森系","绿色、自然和柔软光线。","色调采用森系绿色，包含树叶、苔藓、柔和自然光和低饱和绿调，整体自然、湿润、安静。"
"92","tone","色调","neon","霓虹","高亮彩色灯管和夜间城市感。","色调采用霓虹色彩，使用高亮粉、蓝、紫、绿灯光，形成夜间城市和强视觉冲击。"
"93","tone","色调","blue-tone","蓝调","整体偏蓝，忧郁或冷静。","色调整体偏蓝，保留柔和层次和低照度氛围，适合忧郁、冷静、沉默或夜晚情绪。"
"94","tone","色调","warm-tone","暖调","整体偏暖，亲密或复古。","色调整体偏暖，使用暖白、橙、棕、金色光线，让画面更亲密、复古或有人情味。"
"95","tone","色调","cool-tone","冷调","整体偏冷，理性或疏离。","色调整体偏冷，使用蓝、青、灰色环境光，弱化暖色，让画面理性、疏离、冷静。"
"96","tone","色调","dark-tone","暗调","低明度、深阴影和强氛围。","色调采用暗调，整体低明度，深阴影占比高，只用少量关键光源塑造人物和情绪。"
"97","tone","色调","red-black","红黑","红色冲突和黑色压迫。","色调采用红黑配色，以深黑压住画面，用红色作为冲突、危险或欲望的高亮。"
"98","tone","色调","high-saturation","高饱和","强色彩、强视觉冲击。","色调采用高饱和方案，强化纯色、彩色光和强对比，让海报具有高能量和强视觉记忆点。"
"99","tone","色调","morandi","莫兰迪","灰调、柔和、低饱和高级感。","色调采用莫兰迪灰调，低饱和、柔和、带灰度，画面克制、复古且有高级感。"
"100","tone","色调","faded-warm-yellow","暖黄褪色","旧照片式暖黄和褪色质感。","色调采用暖黄褪色效果，像旧照片或老胶片，暖光发旧，暗部轻微泛褐，带时间痕迹。"
"101","composition","构图","center-symmetry","中心对称构图","主视觉居中，左右稳定对称。","构图采用中心对称，主视觉严格居中，左右元素保持稳定平衡，形成庄重、清晰、海报感强的布局。"
"102","composition","构图","rule-of-thirds","三分法构图","主体落在三分线或交点。","构图采用三分法，将主体放在三分线或交点上，保留一侧环境信息，让画面自然、有呼吸。"
"103","composition","构图","diagonal","对角线构图","用斜线制造运动和张力。","构图采用对角线组织，用道路、光线、人物动作或建筑斜线制造运动感和视觉张力。"
"104","composition","构图","frame-within-frame","框架式构图","门、窗、物体形成二级框架。","构图采用框架式结构，用门、窗、拱廊、树枝或物体边缘包围主体，形成画中画和被观察感。"
"105","composition","构图","leading-lines","引导线构图","道路、光线或建筑线条引导视线。","构图采用引导线，道路、走廊、建筑边缘或光束从前景指向主体，引导观众视线进入画面。"
"106","composition","构图","full-bleed","满版型构图","画面被主体和信息强占满。","构图采用满版型，人物、场景和关键元素铺满画面，信息密度高，形成强烈商业海报冲击。"
"107","composition","构图","negative-space","留白型构图","用空白强化情绪和尺度。","构图采用留白型，大面积空白或单纯背景包围主体，用空间强化孤独、尺度、悬念或高级感。"
"108","composition","构图","top-bottom-split","上下分割构图","上下两块视觉叙事形成对照。","构图采用上下分割，上半部和下半部承载不同场景、人物或情绪，形成阶层、命运或时间对照。"
"109","composition","构图","left-right-split","左右分割构图","左右两块视觉叙事形成对照。","构图采用左右分割，左右两侧安排不同人物、空间或色彩，形成对立、选择或双重世界。"
"110","composition","构图","face-closeup","特写面部构图","面部成为主要海报入口。","构图采用特写面部，人物面孔成为绝对主视觉，眼神、皮肤纹理和局部阴影承担情绪叙事。"
"111","composition","构图","overhead","俯视构图","从上方向下观察，建立秩序感。","构图采用俯视视角，从上方向下观察人物和空间，让场景关系、秩序或被困状态更清晰。"
"112","composition","构图","low-angle","仰视构图","从下往上看，放大压迫或英雄感。","构图采用仰视视角，从下往上观察主体，放大人物、建筑或威胁物，制造英雄感或压迫感。"
"113","composition","构图","silhouette","剪影构图","人物以轮廓和逆光为主。","构图采用剪影方式，让人物主要以轮廓、逆光和姿态识别，弱化面部细节，突出符号感。"
"114","composition","构图","dutch-angle","倾斜构图","画面倾斜，制造不稳定。","构图采用倾斜角度，让水平线和建筑线条偏斜，制造失衡、不安、速度或心理崩塌感。"
"115","composition","构图","reflection","倒影构图","用镜面、水面或玻璃制造双重叙事。","构图采用倒影结构，利用镜面、水面、玻璃或金属反射形成双重画面，暗示身份、记忆或现实反转。"
